id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
31416669,37.503836,-122.3327912,node,,,Unnamed Exit,,,,
31416670,37.5116191,-122.3310074,node,,,Unnamed Exit,,,9A,
31416681,37.5488468,-122.3157402,node,,,Unnamed Exit,,,12A,
31477846,33.9092843,-118.1051618,node,,,Unnamed Exit,,,9A,
31550785,34.8860994,-117.0190257,node,,,Unnamed Exit,,,183,
32026162,34.8743405,-117.0804823,node,,,Unnamed Exit,,,,
32026718,34.8825067,-117.0628436,node,,,Unnamed Exit,,,181,
32040255,34.3927765,-117.4071129,node,,,Unnamed Exit,,,141,
32040476,34.4301464,-117.3778782,node,,,Unnamed Exit,,,143,
32040590,34.523507,-117.3186538,node,,,Unnamed Exit,,,151A,
32040855,34.5411697,-117.307344,node,,,Unnamed Exit,,,153A,
32277639,33.6869038,-117.8727921,node,,,Unnamed Exit,,,5B,
32277648,33.7448031,-117.8417068,node,,,Unnamed Exit,,,103C,
32277665,33.773985,-117.8719173,node,,,Unnamed Exit,,,106,
32296301,33.6904416,-117.869447,node,,,Unnamed Exit,,,6A,
32581236,34.0678467,-117.8355447,node,,,Unnamed Exit,,,40,
32599461,34.0683364,-117.8594662,node,,,Unnamed Exit,,,38B,
32599474,34.0720266,-117.8861044,node,,,Unnamed Exit,,,37A,
32599486,34.0725027,-117.9406894,node,,,Unnamed Exit,,,34A,
32774378,37.5498905,-122.054594,node,,,Unnamed Exit,,,37,
32784720,37.5639732,-122.0380498,node,,,Unnamed Exit,,,,
32789021,37.3852303,-122.0665156,node,,,Unnamed Exit,,,1B,
32791319,37.4363445,-121.919578,node,,,Unnamed Exit,,,,
32795878,37.5652044,-121.9013798,node,,,Unnamed Exit,,,,
32817059,37.4700475,-121.9087329,node,,,Unnamed Exit,,,10,
32875800,37.3496042,-121.9961802,node,,,Unnamed Exit,,,,
32875833,37.3473766,-121.9957189,node,,,Unnamed Exit,,,,
32914623,37.8481717,-122.02778,node,,,Unnamed Exit,,,42,
32914648,37.884569,-122.053837,node,,,Unnamed Exit,,,45A,
32914655,37.891168,-122.0609989,node,,,Unnamed Exit,,,46A,
32915482,38.0485796,-122.1261793,node,,,Unnamed Exit,,,58A,
32915492,37.913609,-122.0666676,node,,,Unnamed Exit,,,47,
32915498,37.9223828,-122.0613379,node,,,Unnamed Exit,,,48,
32915502,37.9411567,-122.0598101,node,,,Unnamed Exit,,,49B,
32915509,37.9626444,-122.0539995,node,,,Unnamed Exit,,,51,
32927517,37.6371077,-122.4398395,node,,,Unnamed Exit,,,44,
32927534,37.6594312,-122.4631021,node,,,Unnamed Exit,,,46,
